organization,url,size,country,description,url2,category,source,url_https,url_source
Slang,slangapp.com/courses/covid-19,11-50,Colombia,"Plataforma personalizada de e-learning (completamente online) para aprender inglés profesional con la más amplia variedad de cursos profesionales. Contamos con cursos específicos para capacitar a los profesionales de la salud, e incluso creamos un curso de ""COVID-19: Inglés para el control de enfermedades infecciosas"" completamente gratis y abierto al público.",slangapp.com/courses/categories/healthcare,Remote education,,,
Organización Comunitaria El Salvador,sites.google.com/view/organizacioncomunitariasv/inicio,1-10,El Salvador,"A raiz de las medidas de salud que se han tomado para mitigar el contagio del coronavirus en El Salvador, a partir del Miércoles 12 de Marzo viajeros entrando al país han sido puestos en cuarentena por 30 dias. Para mejorar la organización de esta medida, se ha creado un sistema para coordinar las necesidades de las personas en cuarentena en los diversos centros de contención en el país, para mejorar su estadía temporal.",,Digital management platforms,,,
Osiris HealthTech Systems,omi.app/covid-19/,1-10,México,"Debido a la creciente preocupación surgida por el COVID-19, hemos creado este auto-screening rápido para ayudarte a ti y a tus seres queridos a evaluar la búsqueda de atención médica.",,Prediction and prevention,,,
Datlas: Construyendo un modelo de respuesta inmediata,blogdatlas.wordpress.com/2020/03/22/coronavirus-pt-2-2-construyendo-un-modelo-de-respuesta-inmediata-datlas-research/,1-10,México,"Un modelo de respuesta inmediata, en el contexto de datos geo-espaciales, contextualiza el entorno y la situación de estudio (En este caso el COVID) para enfocar la atención hacia las ubicaciones más vulnerables en caso de una catástrofe. En situaciones donde el tiempo y la dispersión juegan un rol crítico, es importante tener a la mano herramientas que soporten la labor de enfoque hacia la infraestructura y cuerpos de rescate. El objetivo de la investigación será identificar en un plano geográfico  los puntos de concentración de personas más vulnerables para que en caso de una catástrofe sanitaria tengamos más claridad hacia los puntos de despliegue de equipos de rescate. Toda la documentación está registrada en este blog en español: https://blogdatlas.wordpress.com/2020/03/22/coronavirus-pt-2-2-construyendo-un-modelo-de-respuesta-inmediata-datlas-research/",,Big data and analytics,,,
Happinss México,bit.ly/2JmATEQ,1-10,México,"
Sabemos que la vida tal como la conocemos cambiará y tendremos que adaptarnos a nuestra nueva forma de vida, el costo que tendrá esta crisis en nuestra salud física y mental será devastador gracias distanciamiento social y aislamiento, un evento sin precedentes y es por eso que decidimos contribuir a mitigar las secuelas de esta pandemia global.

Con nuestra aplicación gratuita Happinss Stay Home disponible en IOS y ANDROID cualquier persona podrá disfrutar desde casa, un programa de meditaciones basadas en atención plena(Mindfulness) especialmente diseñadas para afrontar las consecuencias del COVID-19 y así poder ayudarnos a lidiar con el estrés y la ansiedad de manera positiva.   

La practica de la atención plena tiene grandes beneficios tanto para tu salud física como mental. Nos ayuda a tener una visión más positiva de las cosas, a ser menos impulsivos, disminuye los niveles de estés y ansiedad y ayuda a balancear nuestras emociones, ademas de aportar al fortalecimiento tu sistema inmunológico, componente crítico para la crisis de hoy.

 ",bit.ly/2JmATEQ,Social topics and mental health,,,
Algeiba,www.algeiba.com,51-100,Argentina,"Asistente Virtual ante Crisis, tiene como misión responder y resolver necesidades de primer nivel ante situaciones de crisis para liberar esfuerzos de las áreas criticas de la compañía ante preguntas y requerimientos comunes que son automatizados/robotizados.",,Other,,,
Worcket,www.worcket.com/candidates.html,11-50,México,"plataforma 100% digital basada en Inteligencia Artificial, Maxine learning y big data que te permite gestionar todo tu proceso de reclutamiento y selección sin que nadie se mueva de su casa",,Digital management platforms,,,
Happinss Inc,vr.happinss.com/,1-10,México,"Aplicación mobil SIN COSTO para fomentar el mindfulness o atención plena a través de un programa de MBSR(Mindfunlness Based Stress Reduction) diseñado para crisis como la que estamos viviendo hoy en día, la cual podrá ser descargada en cualquier celular Android o IOS para utilizar en esta época de distanciamiento social. 

Se podrá compartir con familiares y amigos.     El impacto del mindfulness en las emociones y en el sistema inmunológico es contundente y a través de esta app podemos ayudar a que la gente pueda enfrentar la crisis física y mentalmente mejor preparados.",,Behavioral change,,,
Inipop,inipop.com,1-10,Argentina,"Desarrollamos la webapp ""Check my virus risk"" para poder verificar si en tu vuelo se reportaron casos de coronavirus. El objetivo es incrementar los recaudos y trabajar en la gestión de la información durante la crisis.

El website de la solución es www.checkmyvirusrisk.com/CO

En este momento estamos desarrollando una solución de crowdsource para encontrar insumos faltantes durante la crisis.",,Digital management platforms,,,
LivePanel ,www.livepanel.co,11-50,Argentina,"Relevamientos de opinión sobre COVID-19 en todos los países de habla hispana, posibilidad de incorporar preguntas adhoc sin cargo a organismos y ong, resultados completamente abiertos para uso por terceros.",,Decision support,,,
Clowd Technologies,www.clowdwork.com,1-10,Colombia,ClowdWork es un software 100% automático que incorpora Inteligencia Artificial para gestionar  la productividad de equipos de trabajo remotos.,,Digital management platforms,,,
